Name,City,region,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
الريـم,Al-Ola,Al-Madinah,SAR 179,5,Only 1 room left like this on our site,6330099,,null,Economy Double Room,No prepayment,FREE cancellation,Max persons: 2,"3 beds
(3 large doubles)",No,null,Not requierd,null,37.917525,26.648656,https://www.booking.com/hotel/sa/lrym.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=633009902_249116704_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=1&highlighted_blocks=633009902_249116704_2_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=633009902_249116704_2_0_0__17940&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Copper Crown Furnished Apartments,Khamis-Mushait,Aseer,SAR 195,5,Only 2 rooms like this left on our site,5326174,9, 169 reviews ,Deluxe Room (2 Adults + 1 Child),No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",No, Superb ,Not requierd,null,42.80140229,18.24274136,https://www.booking.com/hotel/sa/kwbr-krwn-llshqq-lfndqyh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=532617402_191903030_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=2&highlighted_blocks=532617402_191903030_2_0_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=532617402_191903030_2_0_0__19499&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
فندق راية الشلال 2,Hafrel-Batin,Eastern Region,SAR 200,5,Only 3 rooms like this left on our site,5987844,8.7, 17 reviews ,Deluxe Double or Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",No, Fabulous ,Not requierd,null,45.990981,28.370666,https://www.booking.com/hotel/sa/fndq-ry-lshll-2.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=598784401_234887103_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=3&highlighted_blocks=598784401_234887103_2_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=598784401_234887103_2_0_0__20000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Four Points by Sheraton Makkah Al Naseem,Makkah,Makkah,SAR 225,5,Only 5 rooms like this left on our site,3889445,8.7," 9,418 reviews ",Superior Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Fabulous ,Not requierd,null,39.874312,21.38081,https://www.booking.com/hotel/sa/four-points-by-sheraton-makkah-al-naseem.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=388944505_251376099_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=4&highlighted_blocks=388944505_251376099_0_2_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=388944505_251376099_0_2_0__22500&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
نزل الثريا للوحدات السكنية,Al-Tayef,Makkah,SAR 250,5,null,6284346,,null,Budget Double Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",No,null,Not requierd,null,40.48738302,21.49452399,https://www.booking.com/hotel/sa/nzl-lthry-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=628434602_244840443_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=5&highlighted_blocks=628434602_244840443_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=628434602_244840443_2_0_0__24999&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
فندق رفاف المشاعر,Makkah,Makkah,SAR 295,5,null,1224842,8.4, 719 reviews ,Standard Room King,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,Breakfast included,39.87315601,21.40306765,https://www.booking.com/hotel/sa/reefaf-al-mashaer-makkah.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=122484213_235715549_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=6&highlighted_blocks=122484213_235715549_2_1_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=122484213_235715549_2_1_0__29478&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
مسكن الراحة,AnNikashah,Makkah,SAR 300,5,Only 1 left like this on our site,6367195,,null,Two-Bedroom Apartment,No prepayment ,FREE cancellation,Max persons: 4,"3 beds
(2 singles, 1 extra-large double)",Yes,null,Not requierd,null,39.82266,21.368414,https://www.booking.com/hotel/sa/mskn-lrh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=636719502_249718498_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=7&highlighted_blocks=636719502_249718498_4_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=636719502_249718498_4_0_0__30000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Corp Inn Deira.,Riyadh,Riyadh,SAR 312,5,null,254592,7, 397 reviews ,Grand Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Good ,Not requierd,null,46.7165038,24.63434704,https://www.booking.com/hotel/sa/corp-city-center.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=25459201_98662375_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=8&highlighted_blocks=25459201_98662375_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=25459201_98662375_2_0_0__31150&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Gosaibi Hotel,Riyadh,Riyadh,SAR 340,5,null,352664,8.1," 2,517 reviews ",Superior Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,null,50.2207306,26.3069709,https://www.booking.com/hotel/sa/al-gosaibi.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=35266419_243587419_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=9&highlighted_blocks=35266419_243587419_0_2_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=35266419_243587419_0_2_0__34000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Makarem Umm Al Qura Hotel,Makkah,Makkah,SAR 350,5,null,247347,7.7," 6,398 reviews ",Deluxe Twin Room,No prepayment ,null,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Not requierd,null,39.83044177,21.402693,https://www.booking.com/hotel/sa/umm-alqura-makarim.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24734709_127047022_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=10&highlighted_blocks=24734709_127047022_0_2_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24734709_127047022_0_2_0__35000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Best Western Premier Al Ahsa Grand Hotel,Al-Ahsa,Eastern Region,SAR 354,5,Only 1 left like this on our site,2106646,8.2, 440 reviews ,Junior Suite,No prepayment ,FREE cancellation,Max persons: 3,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,49.58997712,25.34607919,https://www.booking.com/hotel/sa/best-western-premier-al-ahsa.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=210664618_120535671_3_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=11&highlighted_blocks=210664618_120535671_3_42_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=210664618_120535671_3_42_0__35409&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Millennium Hail Hotel,Hayel,Hayel,SAR 360,5,null,1688405,7.8," 1,312 reviews ",Deluxe Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Not requierd,null,41.72375679,27.65328324,https://www.booking.com/hotel/sa/millennium-hail.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=168840516_254863118_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=12&highlighted_blocks=168840516_254863118_0_42_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=168840516_254863118_0_42_0__36000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
"Radisson Blu Hotel, Riyadh",Riyadh,Riyadh,SAR 383,5,null,73210,7.6, 617 reviews ,Standard Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Good ,Not requierd,null,46.71865225,24.67071076,https://www.booking.com/hotel/sa/radisson-sas-riyadh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7321001_255463422_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=13&highlighted_blocks=7321001_255463422_2_42_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7321001_255463422_2_42_0__38250&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Shaza Riyadh,Riyadh,Riyadh,SAR 400,5,null,3947892,8.8," 1,787 reviews ",Deluxe Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Fabulous ,Not requierd,null,46.77922563,24.67617671,https://www.booking.com/hotel/sa/shaza-riyadh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=394789201_250994519_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=14&highlighted_blocks=394789201_250994519_2_0_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=394789201_250994519_2_0_0__40000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Awaliv International Hotel,Al-Tayef,Makkah,SAR 400,5,null,312215,8.7," 1,924 reviews ",Superior Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Fabulous ,Not requierd,null,40.4192698,21.28695264,https://www.booking.com/hotel/sa/awaliv-international.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=31221502_202946595_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=15&highlighted_blocks=31221502_202946595_0_2_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=31221502_202946595_0_2_0__40000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Carlton Al Moaibed Hotel,Al- Khubar,Eastern Region,SAR 425,5,Only 2 rooms like this left on our site,253717,7.8, 663 reviews ,Superior Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 single)",Yes, Good ,Not requierd,null,50.18576145,26.36650926,https://www.booking.com/hotel/sa/carlton-al-moaibed.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=25371701_203699341_2_10_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=16&highlighted_blocks=25371701_203699341_2_10_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=25371701_203699341_2_10_0__42500&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
"Radisson Blu Resort, Al Khobar Half Moon Bay",Half Moon Bay,Eastern Region,SAR 450,5,null,2415563,7.1," 2,438 reviews ",Standard Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Good ,Not requierd,null,49.992777,26.039166,https://www.booking.com/hotel/sa/radisson-blu-resort-al-khobar-half-moon-bay.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=241556301_222704501_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=17&highlighted_blocks=241556301_222704501_0_2_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=241556301_222704501_0_2_0__45000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Crowne Plaza Jeddah,Jeddah,Makkah,SAR 466,5,Only 6 rooms like this left on our site,25309,8.4, 574 reviews ,King Leisure Room - Smoking,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,39.15551752,21.51737114,https://www.booking.com/hotel/sa/crowne-plaza-jeddah.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=2530911_251339066_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=18&highlighted_blocks=2530911_251339066_2_42_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=2530911_251339066_2_42_0__46550&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Blue inn Boutique,Abha,Aseer,SAR 480,5,Only 3 rooms like this left on our site,4049970,7.7, 641 reviews ,Twin Room with City View,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Not requierd,Breakfast included,42.50119252,18.21431237,https://www.booking.com/hotel/sa/blw-n-bwtyk-blue-inn-boutique.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=404997002_207987898_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=19&highlighted_blocks=404997002_207987898_2_1_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=404997002_207987898_2_1_0__48000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=;has_campaign_deals_breakaway20_customer_label=1#hotelTmpl
Riyadh Marriott Hotel,Riyadh,Riyadh,SAR 495,5,Only 5 rooms like this left on our site,74591,7.8, 707 reviews ,"Guest Room, 1 King",No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Not requierd,null,46.71224177,24.68599708,https://www.booking.com/hotel/sa/riyadh-marriott.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7459102_94288383_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=20&highlighted_blocks=7459102_94288383_0_2_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7459102_94288383_0_2_0__49500&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Warwick Al Khobar,Al- Khubar,Eastern Region,SAR 500,5,Only 5 rooms like this left on our site,2223633,8.5," 1,140 reviews ",Superior Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 doubles)",Yes, Very good ,Not requierd,null,50.22061881,26.29961208,https://www.booking.com/hotel/sa/warwick-al-khobar.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=222363304_118211737_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=21&highlighted_blocks=222363304_118211737_0_42_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=222363304_118211737_0_42_0__50000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Sheraton Riyadh Hotel & Towers,Riyadh,Riyadh,SAR 500,5,Only 5 rooms like this left on our site,79497,8.1, 438 reviews ,"Classic Room, Guest room, 1 Queen",No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,46.66511804,24.72735725,https://www.booking.com/hotel/sa/sheraton-riyadh-towers.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7949713_246421278_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=22&highlighted_blocks=7949713_246421278_0_42_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7949713_246421278_0_42_0__50000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Sofitel Al Khobar The Corniche,Al- Khubar,Eastern Region,SAR 500,5,Only 7 rooms like this left on our site,174568,8," 2,007 reviews ",Superior Room with 1 Queen Bed - City View,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,null,50.22014737,26.27656645,https://www.booking.com/hotel/sa/sofitel-al-khobar-the-corniche.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=17456807_246090001_2_10_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=23&highlighted_blocks=17456807_246090001_2_10_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=17456807_246090001_2_10_0__50000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Gloria Inn Najran,Najran,Najran,SAR 500,5,Only 5 rooms like this left on our site,395918,7, 29 reviews ,Twin Room with Pool View,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Not requierd,null,44.2614913,17.54856987,https://www.booking.com/hotel/sa/holiday-inn-najran.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=39591816_195180396_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=24&highlighted_blocks=39591816_195180396_0_42_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=39591816_195180396_0_42_0__50000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Somewhere Hotel Al Ahsa,Al Hofuf,Eastern Region,SAR 518,5,null,3108107,8.6," 1,461 reviews ",Deluxe Room King (Smoking),No prepayment ,null,Max persons: 2,"1 bed
(1 large double)",Yes, Fabulous ,Not requierd,null,49.56708291,25.40500005,https://www.booking.com/hotel/sa/somewhere-bliss-al-ahsa.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=310810711_112913064_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=25&highlighted_blocks=310810711_112913064_0_42_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=310810711_112913064_0_42_0__51750&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Novotel Jazan,Jazan,Jazan,SAR 540,5,Only 7 rooms like this left on our site,3157714,8.6," 4,440 reviews ",Superior King Room with Pool View,No prepayment ,null,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Fabulous ,Not requierd,null,42.541455,16.881032,https://www.booking.com/hotel/sa/novotel-jizan.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=315771401_113716993_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=26&highlighted_blocks=315771401_113716993_2_42_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=315771401_113716993_2_42_0__54000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Fraser Suites Riyadh,Riyadh,Riyadh,SAR 550,5,null,2337211,8.3," 2,034 reviews ",Deluxe Studio,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,null,46.69181138,24.67916225,https://www.booking.com/hotel/sa/fraser-suites-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=233721101_195140868_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=27&highlighted_blocks=233721101_195140868_0_2_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=233721101_195140868_0_2_0__55000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Frontel Al Harithia Hotel,Al-Madinah,Al-Madinah,SAR 550,5,Only 7 rooms like this left on our site,294033,8.1, 788 reviews ,Superior Twin Room,No prepayment ,null,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,null,39.60889935,24.47214555,https://www.booking.com/hotel/sa/western-alharithia-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=29403328_94398643_0_34_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=28&highlighted_blocks=29403328_94398643_0_34_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=29403328_94398643_0_34_0__55000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
