Name,City,region,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
Dary Furnished Apartments,Sharora,Najran,SAR 105,0,null,1168248,5.7, 71 reviews ,Studio,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Review score ,Not requierd,null,47.10799903,17.48817531,https://www.booking.com/hotel/sa/dry-llshqq-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=116824801_206170062_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=829&highlighted_blocks=116824801_206170062_2_0_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=116824801_206170062_2_0_0__10500&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Malath Furnished Units,Al-Kharj,Riyadh,SAR 105,0,null,2682435,7.4, 114 reviews ,One-Bedroom Apartment,No prepayment ,FREE cancellation,Max persons: 3,"2 beds
(1 sofa bed, 1 large double)",Yes, Good ,Not requierd,null,47.32323289,24.15942132,https://www.booking.com/hotel/sa/mldh-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=268243501_105953584_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=830&highlighted_blocks=268243501_105953584_3_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=268243501_105953584_3_0_0__10500&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Saad Palace 3,Abha,Aseer,SAR 105,0,Only 1 left like this on our site,2710583,6.9, 67 reviews ,Studio Apartment,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Review score ,Not requierd,null,42.50137579,18.20747521,https://www.booking.com/hotel/sa/saad-palace-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=271058304_123262895_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=831&highlighted_blocks=271058304_123262895_2_0_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=271058304_123262895_2_0_0__10500&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
بارك جازان 2 للواحدات السكنية,Jazan,Jazan,SAR 106,0,Only 1 left like this on our site,2863790,6.9, 9 reviews ,King Studio,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",No, Review score ,Not requierd,null,42.568704,16.897925,https://www.booking.com/hotel/sa/brj-jyzn-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=286379005_243985981_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=832&highlighted_blocks=286379005_243985981_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=286379005_243985981_2_0_0__10585&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Hammad 2 Hotel Apartments,Jeddah,Makkah,SAR 107,0,null,4001964,7.9," 1,128 reviews ",One-Bedroom Apartment,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Not requierd,null,39.16346606,21.61965367,https://www.booking.com/hotel/sa/lhmd-llshqq-lfndqy-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=400196403_123440050_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=833&highlighted_blocks=400196403_123440050_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=400196403_123440050_2_0_0__10700&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Eairy Furnished Apartments -Madinah 3,Al-Madinah,Al-Madinah,SAR 107,0,Only 4 like this left on our site,2231834,5.8, 430 reviews ,Double or Twin Room,No prepayment ,null,Max persons: 2,"2 beds
(2 singles)",Yes, Review score ,Not requierd,null,39.63219702,24.4749139,https://www.booking.com/hotel/sa/al-eairy-furnished-apartments-madinah-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=223183406_201845598_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=834&highlighted_blocks=223183406_201845598_2_0_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=223183406_201845598_2_0_0__10700&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Eairy Apartments - Al Madinah 14,Al-Madinah,Al-Madinah,SAR 107,0,null,2227428,6.2," 1,561 reviews ",Double or Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Review score ,Not requierd,null,39.61747706,24.45540237,https://www.booking.com/hotel/sa/al-eairy-apartments-al-madinah-14.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=222742801_101165680_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=835&highlighted_blocks=222742801_101165680_2_0_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=222742801_101165680_2_0_0__10700&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Basmah Shaqraa for suits hotel,Jeddah,Makkah,SAR 107,0,Only 2 like this left on our site,2085483,6.6, 661 reviews ,Double Room with Bathroom,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Review score ,Not requierd,null,39.16333084,21.51188147,https://www.booking.com/hotel/sa/basma-alshakraa-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=208548305_210943240_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=836&highlighted_blocks=208548305_210943240_0_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=208548305_210943240_0_0_0__10746&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
الدانة طريق الرياض,Abha,Aseer,SAR 108,0,Only 2 like this left on our site,6285920,,null,Deluxe Double Room,No prepayment ,null,Max persons: 2,"1 bed
(1 large double)",Yes,null,Not requierd,null,42.509557,18.226594,https://www.booking.com/hotel/sa/ldn-tryq-lryd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=628592001_244895004_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=837&highlighted_blocks=628592001_244895004_2_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=628592001_244895004_2_0_0__10800&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Melaf Suites,Abha,Aseer,SAR 108,0,Only 4 like this left on our site,621466,6.8, 208 reviews ,One-Bedroom Apartment,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Review score ,Not requierd,null,42.58961678,18.23566416,https://www.booking.com/hotel/sa/melaf-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=62146601_198644953_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=838&highlighted_blocks=62146601_198644953_0_42_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=62146601_198644953_0_42_0__10800&srepoch=1587183161&srpvid=35481d9cb1480004&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
